Mortalidade geral
Óbitos Residentes MSP por Subprefeitura residência e Causas específicas
Período:2021
"Subprefeitura residência";"Doencas infec intest";"Tuberculose";"Infec menigocóccica";"Septicemia";"Aids";"Covid19";"Hepatites virais";"CA esôfago";"CA estômago";"CA colon";"CA reto, JRS, ânus";"CA fígado";"CA pâncreas";"CA laringe";"CA pulmão";"CA mama";"CA ovário";"CA colo de utero";"CA útero porção n/esp";"CA próstata";"CA encéfalo";"Leucemias";"Linfomas";"Anemias";"Diabetes mellitus";"Desnutrição";"Obesidade";"Alcoolismo";"Meningites";"D. Alzheimer";"Demência";"D. reumática crônica coração";"D. hipertensivas";"Doenças isquêmicas coração";"D. circulacao pulmonar";"Miocardiopatias";"Insuficiencia cardiaca";"D. cerebrovasculares";"Aneurisma e dissecção aorta";"Pneumonias";"Bronquite, enfisema, asma";"Outras doenças pulmão";"Úlcera estômago e duodeno";"Doença alcoólica do fígado";"Fibrose e cirrose hepática (exceto alcóol.)";"Insuficiência renal";"Infecção do trato urinário n/ espec";"Gravidez, parto e puerpério";"Feto/RN afet fat matern e compl grav,parto";"Hipóxia intra-uterina/asfixia nascer";"D. membrana hialina";"Outras afec. respiratórias RN";"Infecções espec. periodo perinatal";"Demais causas perinatais";"Anom congenitas sist nervoso";"Anom congenitas coracao e circ";"Anom congenitas ap digestivo";"Demais anomalias congênitas";"Mal definidas";"Acid trânsito e transporte terrestres";"Quedas acidentais";"Demais acidentes";"Suicídios";"Homicídios";"Lesões intenc indeterminada";"Demais causas externas";"Demais causas de morte";"Total"
"Aricanduva/Formosa/Carrão";16;6;-;38;6;788;3;8;22;41;16;30;28;10;52;46;15;7;2;28;15;18;11;2;95;3;8;3;-;64;32;2;108;292;36;23;78;172;21;156;69;15;7;12;15;42;77;2;4;1;1;-;1;1;-;7;-;5;63;15;21;53;11;10;24;2;507;3266
"Butantã";14;4;-;30;14;696;5;13;34;44;27;22;33;9;80;59;13;12;6;21;23;21;11;9;115;4;16;8;2;71;67;6;126;223;29;55;74;179;31;167;83;14;9;30;23;51;58;2;12;2;1;3;3;7;1;9;-;9;86;30;40;44;26;15;34;4;646;3615
"Campo Limpo";13;10;-;43;20;1005;5;14;42;50;25;28;41;8;87;26;23;15;8;32;35;14;18;5;134;-;12;16;4;53;27;10;139;369;49;53;65;237;29;190;105;22;13;31;32;45;64;9;10;4;3;2;6;12;3;10;3;8;81;62;49;77;25;55;46;5;673;4409
"Capela do Socorro";22;19;-;52;21;1070;9;11;44;62;33;20;43;18;73;57;14;19;4;40;20;20;12;5;145;6;12;7;1;45;24;4;147;448;50;40;82;298;31;197;86;16;14;43;36;62;63;8;17;4;5;9;15;7;3;10;2;13;109;51;61;71;17;46;31;4;793;4821
"Casa Verde/Cachoeirinha";12;16;-;39;19;794;7;14;36;41;21;25;23;6;54;28;9;1;3;27;15;10;9;7;118;4;7;7;4;48;23;3;126;177;25;41;60;175;14;160;86;14;10;14;10;40;52;2;7;3;5;1;10;7;1;4;2;2;72;18;39;48;14;26;16;4;501;3216
"Cidade Ademar";10;19;-;27;15;764;5;26;33;23;15;18;21;12;59;43;8;9;5;20;16;9;10;4;99;1;16;9;2;37;14;3;100;290;32;23;57;184;22;155;84;15;6;35;16;47;45;4;14;1;2;5;5;9;1;10;-;8;89;31;46;51;20;33;27;3;519;3341
"Cidade Tiradentes";2;11;-;21;11;415;3;9;11;12;6;5;10;9;20;18;3;9;3;11;7;10;2;3;63;-;5;9;1;15;1;3;53;164;12;6;23;90;9;84;36;9;7;16;11;8;23;3;6;1;2;5;7;3;2;5;2;3;42;18;9;35;8;16;10;11;202;1649
"Ermelino Matarazzo";11;8;-;19;10;488;2;8;22;28;9;7;24;6;29;26;4;4;3;23;5;6;7;3;48;1;8;4;2;28;11;2;65;186;30;14;49;114;11;95;47;10;9;14;12;27;41;4;4;1;-;-;2;2;-;4;1;5;56;27;18;29;10;13;12;7;334;2109
"Freguesia/Brasilândia";3;10;-;41;13;985;9;16;27;34;16;24;20;10;60;47;9;8;4;28;17;15;7;5;153;7;12;10;2;48;30;4;149;235;45;53;89;230;24;190;83;15;14;28;20;50;67;5;6;2;1;6;8;13;1;9;-;7;134;32;43;67;19;33;27;4;599;3982
"Guaianases";10;14;1;38;16;510;3;11;13;21;6;16;9;10;38;21;5;5;2;15;7;10;6;4;78;-;9;6;1;26;11;1;67;211;20;8;47;124;12;91;37;23;5;20;15;31;26;1;10;2;1;5;8;5;3;5;-;6;64;21;22;51;17;22;19;5;336;2263
"Ipiranga";21;12;-;53;15;891;4;10;37;49;34;19;50;9;73;64;12;10;3;32;15;19;19;8;129;3;5;7;2;106;65;8;106;373;40;50;88;226;30;208;94;16;13;24;19;67;116;3;14;1;3;4;13;3;2;6;1;3;114;29;52;44;27;31;20;10;741;4375
"Itaim Paulista";8;20;-;32;18;685;2;14;23;27;17;21;23;7;28;29;9;11;2;20;9;14;6;6;120;3;7;8;3;33;8;3;90;307;26;31;62;189;15;140;66;20;16;28;16;44;44;5;11;2;2;1;6;12;1;7;1;6;94;24;25;46;12;26;21;10;470;3092
"Itaquera";25;26;-;42;21;1275;6;13;36;37;21;33;30;12;65;78;11;5;3;44;23;18;11;12;157;6;17;6;3;78;19;-;140;414;58;20;94;242;21;220;96;26;14;44;24;70;75;4;12;1;2;3;13;12;1;14;1;8;104;43;43;92;32;34;23;5;798;4936
"Jabaquara";9;6;-;21;14;420;3;9;15;21;14;10;27;5;38;20;5;8;1;12;7;8;10;-;65;2;5;4;2;32;22;2;59;177;17;16;38;117;14;103;56;6;3;12;5;35;37;-;7;-;1;-;2;5;1;3;1;6;38;18;26;27;9;16;13;3;350;2038
"Jaçanã/Tremembé";6;13;-;36;11;671;6;10;21;33;17;12;33;9;52;28;7;9;2;25;12;9;11;4;116;3;9;8;4;32;31;2;93;194;21;30;51;163;11;155;60;16;10;20;13;29;38;3;10;-;3;5;5;8;2;4;-;3;81;26;44;34;13;15;20;7;442;2871
"Lapa";21;3;-;32;10;511;4;4;28;39;28;29;44;4;77;46;10;7;1;21;16;21;15;4;72;4;8;1;-;99;65;6;77;206;32;41;61;126;23;146;61;12;6;13;16;31;89;2;3;-;-;1;2;2;1;4;-;6;63;7;21;38;12;7;23;7;579;2948
"M'Boi Mirim";18;12;1;41;14;893;7;14;49;38;25;29;39;16;69;50;10;15;8;27;20;18;14;10;139;3;10;11;3;32;14;8;147;299;45;24;52;229;30;142;73;17;9;28;27;38;59;5;25;3;7;7;5;16;2;7;-;16;100;69;38;65;20;53;41;10;652;4017
"Moóca";17;15;2;46;23;942;-;18;24;58;19;31;53;7;87;58;13;7;2;39;21;20;10;9;125;3;18;3;1;101;67;2;104;301;51;28;93;236;28;232;91;17;19;17;21;57;134;1;9;3;1;6;2;11;1;7;1;7;74;24;33;75;22;15;22;6;701;4291
"Parelheiros";6;3;-;12;8;266;-;3;9;11;7;4;4;8;16;13;3;3;-;10;5;1;3;3;35;1;3;4;1;13;9;-;46;122;4;6;21;83;6;58;27;3;2;15;4;16;15;4;4;2;1;1;1;5;-;3;2;5;36;16;17;27;5;19;10;2;195;1247
"Penha";28;17;-;58;28;1268;2;13;55;65;44;27;47;9;90;74;11;10;5;42;20;22;19;5;183;2;13;6;4;81;34;5;209;464;55;25;100;248;35;257;134;27;18;23;18;66;114;3;13;2;2;1;6;8;2;9;-;5;93;33;35;82;19;19;28;8;814;5262
"Perus";3;6;-;9;3;281;1;3;9;5;6;5;6;3;14;10;-;4;-;11;2;6;3;5;38;-;5;8;-;6;2;-;42;59;16;17;19;52;6;48;14;4;2;12;9;21;10;4;2;-;-;-;2;2;1;1;-;3;35;8;17;14;5;13;14;-;174;1080
"Pinheiros";18;2;-;33;8;413;2;7;15;41;12;18;48;5;65;48;11;5;3;29;22;18;12;3;54;1;8;-;1;72;67;3;53;209;21;28;44;118;23;142;61;9;7;7;9;29;60;-;2;-;-;-;1;2;-;3;-;2;46;13;29;28;18;4;9;3;519;2543
"Pirituba";11;12;-;47;18;949;7;21;30;46;27;29;32;9;67;50;10;15;5;31;23;14;11;14;148;5;18;8;2;49;29;3;163;291;48;59;93;220;19;235;92;15;9;23;18;67;54;3;10;4;3;3;12;7;5;7;-;13;117;34;51;72;19;31;44;5;621;4207
"Santana/Tucuruvi";13;5;-;44;14;878;5;15;28;63;29;32;58;3;83;61;23;6;9;31;15;15;9;5;133;3;6;5;1;89;50;3;120;256;49;32;95;190;29;223;96;24;20;15;21;49;102;1;11;2;1;2;1;4;-;2;2;4;66;29;43;35;17;11;21;6;608;3921
"Santo Amaro";15;2;-;31;4;484;2;14;22;46;17;18;36;8;61;38;13;2;6;25;23;13;11;4;56;4;8;3;-;73;62;2;76;212;25;14;56;114;16;138;63;12;4;7;15;32;69;1;6;1;1;1;-;3;1;1;-;3;55;6;22;29;16;8;9;7;404;2530
"São Mateus";7;11;-;50;24;889;3;16;35;42;20;15;27;12;57;38;12;12;6;23;12;19;6;7;133;3;12;12;3;50;4;-;106;334;41;27;66;181;20;187;85;25;11;30;15;38;42;2;11;3;3;6;5;8;1;10;3;15;114;36;20;68;21;36;35;10;547;3722
"São Miguel";12;16;-;34;18;807;3;16;24;31;26;19;29;12;63;38;15;15;6;30;15;10;6;6;125;7;6;10;1;42;7;1;113;288;44;28;71;188;17;152;74;16;12;26;16;46;52;4;16;1;1;3;6;6;1;8;-;9;74;44;22;50;18;24;22;6;543;3451
"Sapopemba";15;10;-;34;13;666;1;6;18;20;25;14;17;6;39;23;7;4;4;12;8;5;1;4;69;2;11;4;1;30;10;5;76;254;35;22;55;124;23;125;49;10;5;19;17;32;45;6;7;-;2;6;2;6;-;4;-;-;39;25;20;36;8;17;23;10;429;2615
"Sé";24;16;-;44;40;780;7;11;31;50;16;32;33;4;90;50;16;6;3;29;11;26;24;5;96;8;9;2;4;83;65;2;101;296;56;59;69;183;36;234;87;8;15;21;18;35;91;1;9;2;1;2;1;5;1;8;-;3;92;16;36;50;28;27;36;10;733;3987
"Vila Maria/Vila Guilherme";17;14;-;28;14;783;4;7;21;35;19;14;29;10;49;43;13;5;1;28;15;11;11;2;114;6;12;8;2;43;36;3;85;227;35;22;56;179;21;164;65;21;16;20;13;32;65;9;4;1;2;5;1;-;1;5;-;5;83;19;30;30;12;24;18;9;523;3199
"Vila Mariana";22;3;1;35;13;556;2;11;37;62;27;25;54;1;98;56;18;3;3;35;19;24;18;6;74;5;3;-;-;95;69;3;71;233;32;23;66;175;26;184;72;15;13;6;12;47;91;-;2;2;-;-;-;3;1;2;-;2;51;12;26;42;19;7;9;4;682;3308
"Vila Prudente";13;7;-;38;15;689;1;13;33;32;14;17;17;5;60;30;6;8;2;19;9;12;5;1;80;1;2;4;1;49;19;1;89;259;29;13;70;143;23;127;50;15;9;16;10;36;61;2;6;1;-;1;7;2;2;4;2;8;45;25;23;33;14;9;15;4;408;2764
"Ignorado";1;27;-;19;20;74;2;-;2;3;1;1;1;1;3;3;1;1;-;-;4;-;-;2;11;4;6;2;3;8;2;-;13;80;11;31;6;35;13;96;6;2;6;4;5;4;6;1;-;1;-;1;1;1;-;1;-;2;71;63;16;56;17;47;60;5;101;964
"Total";443;375;5;1167;511;23586;125;378;886;1210;639;649;989;263;1896;1319;339;260;115;820;486;456;328;172;3320;105;306;203;61;1731;996;100;3259;8450;1119;962;2050;5564;689;5201;2288;489;333;673;531;1324;1985;104;284;53;57;95;159;197;42;193;24;200;2481;924;1037;1599;550;762;782;196;17144;106039
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. Os coeficientes de mortalidade podem ser tabuladas por Distrito Administrativo e seus agregados (Supervisão de Saúde e Região), faixa etária e sexo, além de ano do óbito.
3. Os coeficientes de mortalidade por homicídio, aids, tuberculose e acidentes de trânsito foram calculados por 100.000 habitantes. 
4. A partir de 2005, os óbitos por acidentes de trânsito foram qualificados com o apoio da Companhia de Engenharia de Tráfego – CET.
5. Nesta opção do Tabnet SMS apenas são disponibilizados os anos que foram encerradas as investigações de mortalidade por causas externas especificadas. Estas investigações são realizadas nas agências do IML na cidade pelo Proaim. Para co
 clique aqui.
