Mortalidade Geral em investigação
Óbitos Residentes MSP por Subprefeitura residência e Causas específicas
Faixa Etária (13): < 1 ano, 01 - 04, 05 - 09, 10 - 14, 15 - 19, 20 - 29, 30 - 39, 40 - 49, 50 - 59, 60 - 69
Período:2024
"Subprefeitura residência";"Doencas infec intest";"Tuberculose";"Infec menigocóccica";"Septicemia";"Aids";"Covid19";"Hepatites virais";"CA esôfago";"CA estômago";"CA colon";"CA reto, JRS, ânus";"CA fígado";"CA pâncreas";"CA laringe";"CA pulmão";"CA mama";"CA ovário";"CA colo de utero";"CA útero porção n/esp";"CA próstata";"CA encéfalo";"Leucemias";"Linfomas";"Anemias";"Diabetes mellitus";"Desnutrição";"Obesidade";"Alcoolismo";"Meningites";"D. Alzheimer";"Demência";"D. reumática crônica coração";"D. hipertensivas";"Doenças isquêmicas coração";"D. circulacao pulmonar";"Miocardiopatias";"Insuficiencia cardiaca";"D. cerebrovasculares";"Aneurisma e dissecção aorta";"Pneumonias";"Bronquite, enfisema, asma";"Outras doenças pulmão";"Úlcera estômago e duodeno";"Doença alcoólica do fígado";"Fibrose e cirrose hepática (exceto alcóol.)";"Insuficiência renal";"Infecção do trato urinário n/ espec";"Gravidez, parto e puerpério";"Feto/RN afet fat matern e compl grav,parto";"Hipóxia intra-uterina/asfixia nascer";"D. membrana hialina";"Outras afec. respiratórias RN";"Infecções espec. periodo perinatal";"Demais causas perinatais";"Anom congenitas sist nervoso";"Anom congenitas coracao e circ";"Anom congenitas ap digestivo";"Demais anomalias congênitas";"Mal definidas";"Acid trânsito e transporte terrestres";"Quedas acidentais";"Demais acidentes";"Suicídios";"Homicídios";"Lesões intenc indeterminada";"Demais causas externas";"Demais causas de morte";"Total"
"Aricanduva/Formosa/Carrão";3;9;-;8;5;-;3;3;11;10;9;12;19;2;14;21;5;6;2;4;9;3;4;3;22;-;3;2;1;2;2;1;18;112;19;9;10;46;15;69;27;4;3;12;12;4;6;-;4;2;-;-;1;1;3;2;-;4;37;10;5;14;3;3;40;1;205;899
"Butantã";4;10;1;9;11;1;2;6;13;18;9;13;15;3;30;35;7;7;2;10;11;10;7;2;17;-;2;-;1;3;2;2;16;130;13;20;13;53;15;45;25;7;3;6;7;5;3;1;5;-;2;2;4;9;3;5;-;4;58;13;8;19;5;10;64;2;219;1057
"Campo Limpo";6;14;-;13;23;5;7;9;25;29;20;19;19;6;40;55;6;15;2;9;21;14;12;1;41;2;4;4;5;-;1;5;52;215;33;21;14;105;19;95;24;8;8;17;24;7;12;1;17;5;5;2;7;8;1;10;1;12;116;30;14;20;9;17;99;6;374;1840
"Capela do Socorro";4;16;-;17;15;2;3;14;26;35;21;9;24;9;49;39;8;12;6;8;15;11;13;5;43;1;3;1;4;2;1;1;50;265;49;23;12;110;28;111;40;9;19;20;22;7;14;2;20;4;1;3;4;11;2;6;2;18;93;43;19;30;15;35;72;4;413;1993
"Casa Verde/Cachoeirinha";3;13;-;20;19;1;2;3;12;19;13;9;13;6;30;26;5;8;5;7;10;10;8;7;35;2;5;3;2;-;1;1;22;123;28;16;11;76;10;65;28;9;6;10;7;3;9;2;2;4;-;3;3;5;2;4;1;5;71;13;4;8;5;5;48;2;229;1137
"Cidade Ademar";-;20;2;12;14;1;1;11;23;24;17;6;20;3;28;36;9;8;2;7;11;6;8;-;38;-;4;4;1;5;4;3;29;160;33;18;14;67;20;82;23;9;6;18;12;8;10;3;13;1;-;3;8;8;3;5;1;9;75;11;7;14;14;9;66;3;253;1343
"Cidade Tiradentes";-;11;1;14;9;-;2;2;6;9;6;3;10;2;14;17;2;6;1;5;6;3;4;3;22;-;4;1;1;2;1;1;16;86;20;16;11;49;5;56;19;6;1;8;10;4;8;-;7;-;1;-;2;6;3;-;1;4;42;1;1;12;3;6;51;1;147;771
"Ermelino Matarazzo";3;10;-;10;6;-;1;5;9;10;13;4;11;1;18;12;4;4;1;1;4;3;3;3;13;-;1;3;1;1;2;-;26;76;18;5;9;37;11;42;14;3;4;9;7;4;7;2;1;1;-;1;4;1;1;3;-;4;28;4;1;14;6;3;31;-;160;694
"Freguesia/Brasilândia";4;18;-;17;16;1;3;9;23;18;12;10;11;5;34;43;5;6;3;5;10;14;10;-;44;3;4;4;7;-;2;3;40;179;35;25;18;75;15;102;33;6;7;18;17;18;12;2;11;2;3;1;3;13;4;6;-;7;94;19;11;20;5;8;78;2;277;1510
"Guaianases";1;16;-;13;12;1;1;3;12;15;12;6;9;5;19;16;7;4;1;5;5;6;4;8;35;-;1;2;4;-;-;1;24;98;26;16;17;64;11;66;33;8;8;9;2;6;8;1;10;2;2;-;5;10;3;10;1;2;54;1;3;10;-;5;66;3;204;1012
