Estimativa populacional segundo ano, sexo, faixa etária e local de residência. Município de São Paulo
População por Subprefeitura (Sub)
Período:2022
"Subprefeitura (Sub)";"População"
"Aricanduva/Formosa/Carrão";268005
"Butantã";467903
"Campo Limpo";672073
"Capela do Socorro";602955
"Casa Verde/Cachoeirinha";305929
"Cidade Ademar";411213
"Cidade Tiradentes";193109
"Ermelino Matarazzo";202271
"Freguesia/Brasilândia";379442
"Guaianases";271968
"Ipiranga";482232
"Itaim Paulista";344818
"Itaquera";549332
"Jabaquara";215352
"Jaçanã/Tremembé";283452
"Lapa";340468
"M'Boi Mirim";567314
"Moóca";378714
"Parelheiros";163721
"Penha";474266
"Perus";161926
"Pinheiros";289394
"Pirituba/Jaraguá";479324
"Santana/Tucuruvi";321443
"Santo Amaro";274410
"São Mateus";451533
"São Miguel Paulista";343420
"Sapopemba";266379
"Sé";425097
"Vila Maria/Vila Guilherme";276440
"Vila Mariana";341545
"Vila Prudente";245161
"Total";11450609
Fonte: Estimativas populacionais - Fundação SEADE-SP, 2000 a 2024
