Leitos por Especialidade dos Estabelecimentos de Saúde do CNES - Município de São Paulo
Leitos SUS por Pref Regional e Leito por Tipo
Período:Dez/2023
"Pref Regional";"1-Cirúrgico";"2-Clínico";"3-Complementar";"4-Obstétrico";"5-Pediátrico";"6-Outras Especialidades";"7-Hospital/DIA";"Total"
"Aricanduva/ Formosa/ Carrão";-;-;-;-;-;95;-;95
"Butantã";78;131;66;57;70;8;30;440
"Campo Limpo";-;-;-;-;-;88;7;95
"Capela do Socorro";78;155;96;62;38;28;-;457
"Casa Verde/ Cachoeirinha";86;74;104;86;33;-;4;387
"Cidade Ademar";-;-;-;-;-;-;14;14
"Cidade Tiradentes";49;54;45;38;27;10;1;224
"Ermelino Matarazzo";85;58;44;40;29;-;-;256
"Freguesia/ Brasilândia";107;138;85;-;28;16;13;387
"Guaianases";40;58;46;48;33;24;-;249
"Ipiranga";350;237;85;47;-;15;42;776
"Itaim Paulista";73;95;62;38;43;22;4;337
"Itaquera";194;234;132;76;43;27;30;736
"Jabaquara";107;149;73;-;29;139;-;497
"Jaçanã/ Tremembé";33;95;-;35;32;710;-;905
"Lapa";10;35;-;-;-;6;5;56
"M Boi Mirim";118;320;100;94;84;65;13;794
"Mooca";300;221;198;92;90;36;38;975
"Parelheiros";75;73;20;29;25;15;-;237
"Penha";9;35;-;-;5;22;7;78
"Perus";-;14;3;-;5;6;-;28
"Pinheiros";875;826;656;46;138;261;213;3015
"Pirituba/ Jaraguá";70;104;56;40;33;158;16;477
"Santana/ Tucuruvi";172;231;121;29;51;181;-;785
"Santo Amaro";173;149;107;71;74;27;70;671
"São Mateus";43;55;86;38;26;8;14;270
"São Miguel";37;43;52;32;31;14;6;215
"Sapopemba";45;87;46;33;6;20;6;243
"Sé";655;623;292;27;141;501;69;2308
"Vila Maria/ Vila Guilherme";43;58;36;18;16;9;6;186
"Vila Mariana";462;538;324;94;145;252;166;1981
"Vila Prudente";26;63;55;34;33;-;14;225
"Total";4393;4953;2990;1204;1308;2763;788;18399
Fonte: Ministério da Saúde/DATASUS/Cadastro Nacional de Estabelecimentos de Saúde – CNES
NOTA:
 Devido a limites no número de apresentação de linhas no Tabnet, restringimos a consulta aos estabelecimentos de saúde públicos e privados (contratados/conveniados
 prestadores de serviços ao SUS) do MSP. Caso haja interesse em obter dados relativos aos demais estabelecimentos de saúde cadastrados no MSP, o interessado
 poderá recorrer ao Tabnet – CNES do MS.
 Informe do DATASUS de 23/12/2015: Competência 11/2015 o CNES passou a trabalhar exclusivamente com a Nat Jurídica proveniente de consumo das informações do CNPJ na R.F. do
 Brasil para identificar a constituição jurídico-administrativa dos estabelecimentos de saúde, abandonando os campos Tipo de Prestador, Esfera Adm., Natureza da Org. e
 Retenção de Tributos. (Port. Nº 1.319/SAS/MS/2014).
