Mortalidade Geral em investigação
Óbitos Residentes MSP por Subprefeitura residência e Causas específicas
Faixa Etária OMS: <1 Ano, 1-4, 5-14, 15-24, 25-34, 35-44, 45-54, 55-64, 65-74
Período:2025
"Subprefeitura residência";"Doencas infec intest";"Tuberculose";"Infec menigocóccica";"Septicemia";"Aids";"Covid19";"Hepatites virais";"CA esôfago";"CA estômago";"CA colon";"CA reto, JRS, ânus";"CA fígado";"CA pâncreas";"CA laringe";"CA pulmão";"CA mama";"CA ovário";"CA colo de utero";"CA útero porção n/esp";"CA próstata";"CA encéfalo";"Leucemias";"Linfomas";"Anemias";"Diabetes mellitus";"Desnutrição";"Obesidade";"Alcoolismo";"Meningites";"D. Alzheimer";"Demência";"D. reumática crônica coração";"D. hipertensivas";"Doenças isquêmicas coração";"D. circulacao pulmonar";"Miocardiopatias";"Insuficiencia cardiaca";"D. cerebrovasculares";"Aneurisma e dissecção aorta";"Pneumonias";"Bronquite, enfisema, asma";"Outras doenças pulmão";"Úlcera estômago e duodeno";"Doença alcoólica do fígado";"Fibrose e cirrose hepática (exceto alcóol.)";"Insuficiência renal";"Infecção do trato urinário n/ espec";"Gravidez, parto e puerpério";"Feto/RN afet fat matern e compl grav,parto";"Hipóxia intra-uterina/asfixia nascer";"D. membrana hialina";"Outras afec. respiratórias RN";"Infecções espec. periodo perinatal";"Demais causas perinatais";"Anom congenitas sist nervoso";"Anom congenitas coracao e circ";"Anom congenitas ap digestivo";"Demais anomalias congênitas";"Mal definidas";"Acid trânsito e transporte terrestres";"Quedas acidentais";"Demais acidentes";"Suicídios";"Homicídios";"Lesões intenc indeterminada";"Demais causas externas";"Demais causas de morte";"Total"
"Aricanduva/Formosa/Carrão";4;10;-;12;5;2;-;3;15;25;10;8;23;4;32;32;4;2;2;7;11;8;3;5;22;-;-;1;3;2;4;4;32;139;31;13;13;74;20;91;33;9;8;4;13;10;19;1;3;2;2;-;-;1;-;1;-;2;33;3;3;16;2;3;36;2;236;1118
"Butantã";7;11;-;11;7;3;-;8;12;28;18;11;31;6;48;48;5;5;4;11;19;7;10;2;33;-;1;2;3;1;8;3;18;143;28;12;17;79;27;72;32;5;6;8;20;5;7;-;10;2;-;1;5;7;-;4;-;10;73;11;8;15;6;7;54;-;294;1349
"Campo Limpo";11;24;2;17;19;2;6;13;21;30;21;18;27;11;65;49;11;12;5;14;24;14;12;5;55;3;1;5;7;4;6;6;33;244;40;28;23;135;24;126;49;8;11;16;25;16;18;1;11;2;1;1;4;12;2;8;-;13;113;18;15;29;10;16;86;6;440;2104
"Capela do Socorro";5;26;1;18;15;3;2;12;32;38;18;25;28;12;52;63;15;17;7;23;14;10;9;8;52;1;4;4;3;9;4;6;45;287;44;30;28;194;32;154;43;20;13;21;32;18;20;3;10;4;3;7;6;18;2;6;1;12;127;26;11;30;14;23;112;6;523;2461
"Casa Verde/Cachoeirinha";5;15;-;11;8;1;-;5;13;32;15;15;22;4;36;39;7;10;3;7;16;11;6;5;34;1;7;-;1;4;3;2;20;167;35;20;23;62;16;94;39;9;5;8;16;20;9;-;11;2;-;2;1;1;-;4;-;9;79;6;7;12;2;4;45;2;280;1348
"Cidade Ademar";3;18;-;9;11;-;-;9;21;20;16;8;23;3;34;37;5;8;6;14;11;13;12;4;34;2;2;2;2;2;4;4;32;173;35;20;20;117;22;108;39;9;9;5;15;12;13;2;8;3;2;3;6;10;2;5;-;7;100;9;9;19;9;7;47;2;349;1565
"Cidade Tiradentes";4;10;-;6;9;-;1;6;8;5;2;9;4;3;18;13;2;5;3;6;5;3;4;2;19;1;5;2;2;6;-;-;20;121;16;11;20;50;11;73;25;13;5;4;6;12;6;-;6;-;-;-;2;5;-;3;1;8;52;5;1;11;5;3;52;-;161;871
"Ermelino Matarazzo";2;6;1;9;3;1;1;8;10;14;8;14;14;1;11;21;-;8;2;6;6;4;3;3;18;-;1;2;1;4;2;1;7;91;20;12;13;48;24;71;25;10;2;3;10;8;9;-;5;2;1;-;1;1;-;2;-;-;34;3;1;9;1;1;24;1;164;788
"Freguesia/Brasilândia";2;19;-;16;19;-;3;11;28;31;13;19;27;5;47;44;15;14;3;10;11;7;13;3;47;2;2;1;6;3;3;3;52;224;49;29;29;102;27;125;57;11;13;16;25;19;10;-;10;6;5;1;6;9;2;3;-;13;108;8;5;20;3;9;76;6;378;1883
"Guaianases";7;11;2;8;9;-;2;9;10;14;6;6;13;2;24;19;3;8;5;2;10;5;4;-;32;1;1;2;1;3;6;-;26;123;27;21;17;67;14;77;37;17;8;2;12;6;5;-;8;1;5;2;3;6;1;1;1;3;62;5;1;14;5;2;58;-;214;1076
"Ipiranga";7;9;-;14;13;3;2;10;21;38;18;22;33;4;57;45;8;11;3;14;18;14;15;4;31;1;8;4;5;7;7;2;23;186;35;15;15;101;22;114;49;6;8;15;15;12;19;2;3;2;1;-;2;3;-;8;1;8;93;6;11;18;8;14;55;3;366;1687
"Itaim Paulista";1;19;-;12;13;1;2;4;13;26;14;12;14;6;29;28;11;8;1;10;15;16;6;1;38;1;2;2;4;2;5;2;40;183;33;27;16;100;18;120;49;14;7;16;11;21;18;4;14;1;-;1;6;8;-;1;-;4;63;2;4;14;6;5;80;6;269;1479
"Itaquera";8;17;-;17;16;1;2;17;31;37;28;23;34;8;39;37;12;11;6;18;16;18;13;3;52;3;3;1;5;4;2;4;47;253;56;35;34;129;32;173;69;29;8;13;21;28;23;3;8;5;4;7;7;7;4;8;1;9;87;8;5;24;2;9;116;3;474;2227
"Jabaquara";5;2;-;1;11;2;-;2;8;26;11;13;6;7;24;26;1;4;3;2;10;2;3;-;13;2;5;-;1;3;4;1;15;92;13;16;9;56;7;41;28;4;7;8;16;8;8;-;2;3;-;1;4;1;1;1;-;6;41;3;7;13;3;6;31;2;176;827
"Jaçanã/Tremembé";2;11;-;14;20;1;5;2;14;20;9;6;11;1;32;31;6;6;3;8;13;11;4;1;24;-;3;2;8;3;2;2;36;165;34;14;8;80;19;89;23;7;6;17;15;10;10;2;9;2;3;1;5;6;1;4;2;3;57;9;12;16;2;3;53;4;262;1264
"Lapa";4;6;-;2;5;2;1;3;5;27;12;10;27;4;27;28;6;4;-;7;8;4;13;1;12;1;1;-;-;6;4;-;10;89;17;15;9;34;18;29;15;4;4;1;11;7;8;-;3;2;-;1;-;3;2;4;-;7;44;3;1;12;1;1;16;-;180;781
"M'Boi Mirim";5;16;-;18;16;1;1;21;31;35;17;16;22;10;49;39;9;11;4;11;21;14;10;4;49;1;2;-;3;5;11;4;43;217;47;25;25;143;31;134;46;16;11;19;29;26;18;1;13;2;1;2;5;10;5;13;-;8;128;29;12;31;6;28;99;7;460;2146
"Moóca";8;13;-;12;11;2;3;4;12;32;18;16;31;1;47;32;6;6;2;6;22;17;13;2;24;2;2;1;4;6;5;5;22;160;31;15;16;67;18;116;33;8;7;11;14;12;6;3;4;1;1;9;-;8;-;5;-;8;60;7;2;17;-;5;52;4;244;1331
"Parelheiros";2;4;-;7;6;-;1;3;7;11;4;4;11;3;18;9;-;4;2;4;2;1;1;3;16;1;-;2;1;2;-;4;11;81;20;12;12;54;3;43;18;2;3;6;9;11;11;-;7;-;2;-;5;3;-;2;-;2;44;11;3;13;8;10;28;-;150;717
"Penha";6;14;-;21;17;2;7;13;16;27;13;17;34;6;40;49;6;14;5;20;16;10;9;7;47;-;4;4;2;6;4;4;44;226;53;35;27;110;27;145;56;22;11;10;17;20;23;2;7;1;-;7;7;9;1;7;1;6;76;13;2;17;3;6;77;-;422;1930
"Perus";1;6;-;6;4;-;-;4;5;10;8;2;7;1;8;17;2;5;1;1;4;2;-;1;8;-;1;1;-;1;1;2;10;73;10;3;8;33;11;37;10;1;3;4;5;5;3;1;3;1;2;2;2;5;-;3;-;2;37;6;4;3;-;1;40;3;112;552
"Pinheiros";3;1;-;4;4;1;2;3;8;12;7;12;21;2;30;13;7;5;4;5;9;6;3;-;5;-;1;1;1;4;1;2;6;42;10;5;7;19;4;18;10;3;4;-;5;1;5;-;1;-;-;-;-;-;-;1;-;2;16;3;3;7;5;-;18;1;98;471
"Pirituba";3;21;-;22;22;4;3;17;28;32;11;20;21;6;46;39;10;15;3;15;20;19;7;4;35;3;7;3;2;2;1;4;28;193;60;22;21;111;33;121;47;8;10;11;22;12;15;2;6;2;2;3;5;6;2;5;2;8;83;15;10;18;6;5;73;7;382;1801
"Santana/Tucuruvi";4;7;-;14;7;1;-;5;9;26;12;14;34;3;30;25;11;6;-;10;6;10;7;2;28;1;3;3;6;1;8;2;15;148;25;15;13;70;17;64;32;9;3;9;10;7;23;1;3;-;1;1;2;3;-;2;2;9;53;8;5;14;1;2;32;6;254;1154
"Santo Amaro";5;9;-;9;-;1;1;8;7;24;12;8;14;2;30;22;5;3;-;7;14;10;10;3;17;-;2;1;3;4;5;1;13;80;20;10;12;46;8;47;26;3;3;3;9;6;11;1;4;-;-;1;-;3;2;-;-;1;30;6;5;16;5;4;23;3;163;801
"São Mateus";6;7;-;13;13;-;1;4;21;14;18;13;26;8;36;23;3;14;3;7;16;8;9;2;54;2;2;3;2;6;3;1;45;230;41;31;22;98;18;124;42;13;17;9;20;13;21;3;8;3;1;2;10;13;3;5;2;8;79;11;5;23;1;4;100;3;312;1678
